Date,Temperature Max,Temperature Min,Temperature Average,Precipitation,Latitude,Longitude,Elevation,Location
2019-01-01,30.0,23.1,26.1,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-02,29.4,22.7,25.7,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-03,30.2,22.6,26.1,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-04,30.6,22.3,26.0,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-05,31.1,22.6,26.4,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-06,30.5,22.7,26.2,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-07,31.5,22.3,26.8,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-08,31.7,23.5,27.4,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-09,32.5,23.2,27.6,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-10,32.3,23.8,27.7,0.3,7.0,79.899994,16.0,Colombo Proper
2019-01-11,32.3,23.9,27.6,9.6,7.0,79.899994,16.0,Colombo Proper
2019-01-12,30.9,24.0,27.3,0.8,7.0,79.899994,16.0,Colombo Proper
2019-01-13,31.8,24.5,26.9,7.6,7.0,79.899994,16.0,Colombo Proper
2019-01-14,31.0,24.4,27.1,6.2,7.0,79.899994,16.0,Colombo Proper
2019-01-15,31.3,24.2,27.4,0.5,7.0,79.899994,16.0,Colombo Proper
2019-01-16,31.4,23.6,27.2,0.7,7.0,79.899994,16.0,Colombo Proper
2019-01-17,31.7,22.5,26.7,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-18,30.9,22.0,26.2,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-19,31.0,21.8,26.1,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-20,31.4,21.9,26.4,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-21,31.4,22.5,26.6,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-22,31.8,23.3,27.1,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-23,32.9,22.9,27.8,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-24,32.9,23.3,27.7,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-25,31.9,24.3,27.7,0.1,7.0,79.899994,16.0,Colombo Proper
2019-01-26,33.1,24.0,27.8,1.4,7.0,79.899994,16.0,Colombo Proper
2019-01-27,30.6,23.8,26.9,2.5,7.0,79.899994,16.0,Colombo Proper
2019-01-28,31.3,23.3,26.9,0.3,7.0,79.899994,16.0,Colombo Proper
2019-01-29,33.6,23.2,28.2,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-30,33.7,24.0,28.2,0.0,7.0,79.899994,16.0,Colombo Proper
2019-01-31,34.4,24.3,28.8,0.0,7.0,79.899994,16.0,Colombo Proper
2019-02-01,34.2,24.4,28.7,0.0,7.0,79.899994,16.0,Colombo Proper
2019-02-02,33.0,24.4,28.4,0.1,7.0,79.899994,16.0,Colombo Proper
2019-02-03,32.6,25.1,28.3,4.8,7.0,79.899994,16.0,Colombo Proper
